sample_1	sample_2	chromosome	start	end	is_co	breakpoint_overlaps	overlaps_anywhere	starts_or_ends_chromosome
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	11570964	11570964	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	30161996	30161996	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	11570964	30161996	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	1	38603038	38603038	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	1	54372669	54372669	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	1	38603038	54372669	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	1	63629452	63629452	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	1	158903546	158903546	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	1	63629452	158903546	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	158903547	158903547	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	164611463	164611463	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	158903547	164611463	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	1	164611464	164611464	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	1	182221790	182221790	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	1	164611464	182221790	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	208410050	208410050	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	238698023	238698023	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	1	208410050	238698023	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	7958313	7958313	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	8418353	8418353	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	7958313	8418353	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	46572242	46572242	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	60775594	60775594	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	46572242	60775594	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	47467579	47467579	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	60775594	60775594	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	47467579	60775594	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	47467579	47467579	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	64372290	64372290	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	47467579	64372290	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	64372291	64372291	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	76620013	76620013	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	64372291	76620013	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	65385662	65385662	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	76620013	76620013	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	65385662	76620013	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	65385662	65385662	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	103304857	103304857	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	65385662	103304857	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	103304858	103304858	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	174307866	174307866	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	103304858	174307866	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	110420231	110420231	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	136768545	136768545	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	110420231	136768545	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	110420231	110420231	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	136768545	136768545	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	110420231	136768545	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	139812449	139812449	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	155654812	155654812	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	139812449	155654812	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	139812449	139812449	True	False	False	False
